Region,Country,Location,Plant Name,Company Name,Capacity (million tpy)
South Asia,India,"Sindri, Jharkhand",Sindri Fertilizer Plant,HURL,0.73
South Asia,India,"Barauni, Bihar",Barauni Fertilizer Plant,HURL,0.73
South Asia,Pakistan,"Daharki, Sindh",Engro Fertilizers Daharki,Engro Fertilizers,1.1
South Asia,Pakistan,"Goth Machhi, Punjab",FFC Goth Machhi Complex,Fauji Fertilizer Company,1.2
South Asia,Bangladesh,"Ghorashal, Narsingdi",Ghorashal-Polash Fertilizer Project,BCIC,0.58
East Asia,China,"Yulin, Shaanxi",Yulin Ammonia / Fertilizer Complex,Shaanxi Coal & Chemical Industry,1.2
East Asia,China,"Ordos, Inner Mongolia",Ordos Ammonia / Fertilizer Complex,China Coal / local operators,1
East Asia,China,"Urumqi, Xinjiang",Xinjiang Ammonia / Fertilizer Complex,Xinjiang fertilizer producers,1
East Asia,China,"Lanzhou, Gansu",Lanzhou Petrochemical Ammonia Plant,PetroChina,0.45
East Asia,China,"Daqing, Heilongjiang",Daqing Petrochemical Ammonia Plant,PetroChina,0.45
East Asia,China,"Ningbo, Zhejiang",Ningbo Ammonia / Fertilizer Complex,Chinese fertilizer operators,0.5
East Asia,South Korea,Yeosu,Yeosu Ammonia / Fertilizer Complex,Lotte Fine Chemical / partners,0.3
East Asia,Japan,Niigata,Niigata Ammonia Facility,Japanese chemical operators,0.2
Southeast Asia,Indonesia,"Bontang, East Kalimantan",Pupuk Kaltim Ammonia Complex,Pupuk Kalimantan Timur,2.74
Southeast Asia,Indonesia,"Gresik, East Java",Petrokimia Gresik Ammonia Complex,Petrokimia Gresik,0.85
Southeast Asia,Indonesia,"Palembang, South Sumatra",Pusri Palembang Ammonia Complex,Pupuk Sriwidjaja Palembang,1.35
Southeast Asia,Indonesia,"Lhokseumawe, Aceh",Pupuk Iskandar Muda Ammonia,Pupuk Iskandar Muda,0.66
Southeast Asia,Malaysia,"Bintulu, Sarawak",PETRONAS Chemicals Fertiliser Kedah / Bintulu,PETRONAS Chemicals Group,1.2
Southeast Asia,Malaysia,"Sipitang, Sabah",SAMUR Ammonia Plant,PETRONAS Chemicals Group,0.74
Southeast Asia,Vietnam,"Phu My, Ba Ria-Vung Tau",Phu My Fertilizer Ammonia,PetroVietnam Fertilizer and Chemicals,0.54
Southeast Asia,Vietnam,Ca Mau,Ca Mau Fertilizer Ammonia,PetroVietnam Ca Mau Fertilizer,0.47
Oceania,Australia,"Karratha, Western Australia",Yara Pilbara Ammonia Plant,Yara Pilbara Fertilisers,0.85
Oceania,Australia,"Brisbane, Queensland",Gibson Island Ammonia Facility,Incitec Pivot / transition projects,0.3
Global,,,Total (MMTPA),,96.95
